Date,City,Dept,Product,Sale,Prediction,Type,,Difference
09-01-2013,C,Mens Upper,2600,4,2,History,,2
09-01-2013,A,Mens Upper,2601,0,0,History,,0
09-01-2013,C,Mens Upper,2601,4,3,History,,1
09-01-2013,A,Mens Upper,2724,127,71,History,,56
09-01-2013,C,Mens Upper,2724,42,31,History,,11
09-01-2013,A,Mens Upper,2725,15,12,History,,3
09-01-2013,C,Mens Upper,2725,20,8,History,,12
09-01-2013,A,Mens Upper,2726,27,25,History,,2
09-01-2013,C,Mens Upper,2726,23,11,History,,12
09-01-2013,A,Mens Upper,29362,15,26,History,,-11
09-01-2013,C,Mens Upper,29362,25,19,History,,6
09-01-2013,A,Mens Upper,63,57,11,History,,46
09-01-2013,C,Mens Upper,63,45,44,History,,1
12-01-2013,C,Footwear Mens,17295,4,4,History,,0
12-01-2013,A,Footwear Mens,17298,0,0,History,,0
12-01-2013,C,Footwear Mens,17298,1,2,History,,-1
12-01-2013,C,Footwear Mens,17300,1,1,History,,0
12-01-2013,A,Home Furnishing,17514,0,3,History,,-3
12-01-2013,C,Home Furnishing,17514,1,1,History,,0
12-01-2013,A,Home Furnishing,17515,4,2,History,,2
12-01-2013,C,Home Furnishing,17515,0,1,History,,-1
12-01-2013,A,Home Furnishing,17516,3,1,History,,2
12-01-2013,C,Home Furnishing,17516,0,2,History,,-2
12-01-2013,A,Home Furnishing,17517,0,0,History,,0
12-01-2013,C,Home Furnishing,17517,0,1,History,,-1
12-01-2013,A,Home Furnishing,17518,0,1,History,,-1
12-01-2013,C,Home Furnishing,17518,1,1,History,,0
12-01-2013,A,Home Furnishing,17540,3,3,History,,0
12-01-2013,C,Home Furnishing,17540,0,0,History,,0
12-01-2013,A,Home Furnishing,243,0,1,History,,-1
12-01-2013,C,Home Furnishing,243,0,1,History,,-1
12-01-2013,A,Home Furnishing,34327,0,0,History,,0
12-01-2013,C,Home Furnishing,34327,2,2,History,,0
12-01-2013,A,Infant W-Wear,13245,13,12,History,,1
12-01-2013,C,Infant W-Wear,13245,4,5,History,,-1
12-01-2013,A,Infant W-Wear,13246,3,3,History,,0
12-01-2013,C,Infant W-Wear,13246,1,1,History,,0
12-01-2013,A,Infant W-Wear,13247,0,0,History,,0
12-01-2013,A,Infant W-Wear,13248,0,0,History,,0
12-01-2013,A,Infant W-Wear,26947,3,5,History,,-2
12-01-2013,C,Infant W-Wear,26947,2,4,History,,-2
12-01-2013,A,Ladies Lower,15663,2,1,History,,1
12-01-2013,C,Ladies Lower,15663,0,0,History,,0
12-01-2013,A,Ladies Lower,15664,14,10,History,,4
12-01-2013,C,Ladies Lower,15664,2,0,History,,2
12-01-2013,A,Ladies Lower,15665,0,0,History,,0
12-01-2013,C,Ladies Lower,15665,0,0,History,,0
12-01-2013,A,Ladies Lower,15666,4,2,History,,2
12-01-2013,C,Ladies Lower,15666,0,2,History,,-2
12-01-2013,A,Ladies Lower,15667,11,2,History,,9
12-01-2013,C,Ladies Lower,15667,2,4,History,,-2
12-01-2013,A,Ladies Lower,18108,0,0,History,,0
12-01-2013,C,Ladies Lower,18108,0,0,History,,0
12-01-2013,A,Ladies Lower,44,0,0,History,,0
12-01-2013,C,Ladies Lower,44,0,0,History,,0
12-01-2013,A,Ladies Upper,2871,0,1,History,,-1
12-01-2013,C,Ladies Upper,2871,0,0,History,,0
12-01-2013,A,Ladies Upper,2875,1,4,History,,-3
12-01-2013,C,Ladies Upper,2875,0,5,History,,-5
12-01-2013,A,Ladies Upper,2876,1,0,History,,1
12-01-2013,C,Ladies Upper,2876,0,0,History,,0
12-01-2013,A,Ladies Upper,2877,0,0,History,,0
12-01-2013,C,Ladies Upper,2877,0,0,History,,0
12-01-2013,A,Ladies Upper,2878,0,0,History,,0
12-01-2013,C,Ladies Upper,2878,0,0,History,,0
12-01-2013,A,Ladies Upper,2880,0,0,History,,0
12-01-2013,A,Mens Lower,15350,0,5,History,,-5
12-01-2013,C,Mens Lower,15350,0,1,History,,-1
12-01-2013,A,Mens Lower,15352,4,8,History,,-4
12-01-2013,C,Mens Lower,15352,7,5,History,,2
12-01-2013,A,Mens Lower,15353,3,0,History,,3
12-01-2013,C,Mens Lower,15353,2,3,History,,-1
12-01-2013,A,Mens Lower,15355,10,4,History,,6
12-01-2013,C,Mens Lower,15355,7,10,History,,-3
12-01-2013,A,Mens Lower,15356,1,0,History,,1
12-01-2013,C,Mens Lower,15356,2,9,History,,-7
12-01-2013,A,Mens Lower,15357,5,6,History,,-1
12-01-2013,C,Mens Lower,15357,7,4,History,,3
12-01-2013,A,Mens Lower,25943,16,19,History,,-3
12-01-2013,C,Mens Lower,25943,6,6,History,,0
12-01-2013,A,Mens Lower,52,1,4,History,,-3
12-01-2013,C,Mens Lower,52,0,0,History,,0
12-01-2013,A,Mens Upper,20,0,0,History,,0
12-01-2013,A,Mens Upper,2885,0,0,History,,0
12-01-2013,C,Mens Upper,2885,0,0,History,,0
12-01-2013,A,Mens Upper,2886,1,0,History,,1
12-01-2013,C,Mens Upper,2886,0,0,History,,0
12-01-2013,A,Mens Upper,2887,0,0,History,,0
12-01-2013,C,Mens Upper,2887,0,1,History,,-1
12-01-2013,A,Mens Upper,19453,0,1,History,,-1
12-01-2013,C,Mens Upper,19453,0,0,History,,0
12-01-2013,A,Mens Upper,2598,0,0,History,,0
12-01-2013,C,Mens Upper,2598,0,0,History,,0
12-01-2013,A,Mens Upper,2599,0,0,History,,0
12-01-2013,C,Mens Upper,2599,0,2,History,,-2
12-01-2013,A,Mens Upper,2600,0,1,History,,-1
12-01-2013,C,Mens Upper,2600,0,0,History,,0
12-01-2013,A,Mens Upper,2601,0,3,History,,-3
12-01-2013,C,Mens Upper,2601,0,1,History,,-1
12-01-2013,A,Mens Upper,2724,8,0,History,,8
12-01-2013,C,Mens Upper,2724,5,4,History,,1
12-01-2013,A,Mens Upper,2725,0,0,History,,0
12-01-2013,C,Mens Upper,2725,0,0,History,,0
12-01-2013,A,Mens Upper,2726,0,1,History,,-1
12-01-2013,C,Mens Upper,2726,0,0,History,,0
12-01-2013,A,Mens Upper,29362,0,0,History,,0
12-01-2013,C,Mens Upper,29362,0,0,History,,0
12-01-2013,A,Mens Upper,63,0,0,History,,0
12-01-2013,C,Mens Upper,63,0,0,History,,0
11-03-2013,C,Footwear Mens,17295,1,3,History,,-2
11-03-2013,A,Footwear Mens,17298,0,0,History,,0
11-03-2013,C,Footwear Mens,17298,2,2,History,,0
11-03-2013,C,Footwear Mens,17300,0,0,History,,0
11-03-2013,A,Home Furnishing,17514,6,6,History,,0
11-03-2013,C,Home Furnishing,17514,0,2,History,,-2
11-03-2013,A,Home Furnishing,17515,4,7,History,,-3
11-03-2013,C,Home Furnishing,17515,2,3,History,,-1
11-03-2013,A,Home Furnishing,17516,3,3,History,,0
11-03-2013,C,Home Furnishing,17516,1,0,History,,1
11-03-2013,A,Home Furnishing,17517,0,0,History,,0
11-03-2013,C,Home Furnishing,17517,1,0,History,,1
11-03-2013,A,Home Furnishing,17518,2,8,History,,-6
11-03-2013,C,Home Furnishing,17518,3,9,History,,-6
11-03-2013,A,Home Furnishing,17540,0,0,History,,0
11-03-2013,A,Home Furnishing,243,0,1,History,,-1
11-03-2013,C,Home Furnishing,243,0,1,History,,-1
11-03-2013,A,Home Furnishing,34327,3,3,History,,0
11-03-2013,C,Home Furnishing,34327,0,0,History,,0
11-03-2013,A,Infant W-Wear,13245,14,25,History,,-11
11-03-2013,C,Infant W-Wear,13245,19,25,History,,-6
11-03-2013,A,Infant W-Wear,13246,2,4,History,,-2
11-03-2013,C,Infant W-Wear,13246,4,3,History,,1
11-03-2013,A,Infant W-Wear,13248,0,0,History,,0
11-03-2013,A,Infant W-Wear,26947,14,13,History,,1
11-03-2013,C,Infant W-Wear,26947,10,7,History,,3
11-03-2013,A,Ladies Lower,15663,0,4,History,,-4
11-03-2013,C,Ladies Lower,15663,0,1,History,,-1
11-03-2013,A,Ladies Lower,15664,9,21,History,,-12
11-03-2013,C,Ladies Lower,15664,3,4,History,,-1
11-03-2013,A,Ladies Lower,15665,0,0,History,,0
11-03-2013,C,Ladies Lower,15665,0,0,History,,0
11-03-2013,A,Ladies Lower,15666,1,4,History,,-3
11-03-2013,C,Ladies Lower,15666,1,4,History,,-3
11-03-2013,A,Ladies Lower,15667,7,12,History,,-5
11-03-2013,C,Ladies Lower,15667,4,6,History,,-2
11-03-2013,A,Ladies Lower,18108,0,0,History,,0
11-03-2013,C,Ladies Lower,18108,0,0,History,,0
11-03-2013,A,Ladies Lower,44,0,0,History,,0
11-03-2013,C,Ladies Lower,44,1,1,History,,0
11-03-2013,A,Ladies Upper,2871,1,1,History,,0
11-03-2013,C,Ladies Upper,2871,0,0,History,,0
11-03-2013,A,Ladies Upper,2875,2,17,History,,-15
11-03-2013,C,Ladies Upper,2875,6,4,History,,2
11-03-2013,A,Ladies Upper,2876,4,1,History,,3
11-03-2013,C,Ladies Upper,2876,0,0,History,,0
11-03-2013,A,Ladies Upper,2877,0,12,History,,-12
11-03-2013,C,Ladies Upper,2877,0,0,History,,0
11-03-2013,A,Ladies Upper,2878,11,49,History,,-38
11-03-2013,C,Ladies Upper,2878,0,0,History,,0
11-03-2013,A,Ladies Upper,2880,0,1,History,,-1
11-03-2013,A,Mens Lower,15350,9,18,History,,-9
11-03-2013,C,Mens Lower,15350,11,17,History,,-6
11-03-2013,A,Mens Lower,15352,13,23,History,,-10
11-03-2013,C,Mens Lower,15352,15,19,History,,-4
11-03-2013,A,Mens Lower,15353,14,18,History,,-4
11-03-2013,C,Mens Lower,15353,11,11,History,,0
11-03-2013,A,Mens Lower,15355,18,19,History,,-1
11-03-2013,C,Mens Lower,15355,10,11,History,,-1
11-03-2013,A,Mens Lower,15356,9,7,History,,2
11-03-2013,C,Mens Lower,15356,9,14,History,,-5
11-03-2013,A,Mens Lower,15357,9,13,History,,-4
11-03-2013,C,Mens Lower,15357,8,20,History,,-12
11-03-2013,A,Mens Lower,25943,26,40,History,,-14
11-03-2013,C,Mens Lower,25943,10,24,History,,-14
11-03-2013,A,Mens Lower,52,8,3,History,,5
11-03-2013,C,Mens Lower,52,1,2,History,,-1
11-03-2013,A,Mens Upper,20,0,0,History,,0
11-03-2013,A,Mens Upper,2885,0,0,History,,0
11-03-2013,C,Mens Upper,2885,0,0,History,,0
11-03-2013,A,Mens Upper,2886,0,0,History,,0
11-03-2013,C,Mens Upper,2886,0,0,History,,0
11-03-2013,A,Mens Upper,2887,0,0,History,,0
11-03-2013,C,Mens Upper,2887,1,0,History,,1
11-03-2013,A,Mens Upper,19453,0,0,History,,0
11-03-2013,C,Mens Upper,19453,0,1,History,,-1
11-03-2013,A,Mens Upper,2598,2,0,History,,2
11-03-2013,C,Mens Upper,2598,0,2,History,,-2
11-03-2013,A,Mens Upper,2599,0,1,History,,-1
11-03-2013,C,Mens Upper,2599,2,0,History,,2
11-03-2013,A,Mens Upper,2600,0,0,History,,0
11-03-2013,C,Mens Upper,2600,0,0,History,,0
11-03-2013,A,Mens Upper,2601,2,0,History,,2
11-03-2013,C,Mens Upper,2601,0,1,History,,-1
11-03-2013,A,Mens Upper,2724,13,6,History,,7
11-03-2013,C,Mens Upper,2724,5,8,History,,-3
11-03-2013,A,Mens Upper,2725,0,5,History,,-5
11-03-2013,C,Mens Upper,2725,1,3,History,,-2
11-03-2013,A,Mens Upper,2726,0,1,History,,-1
11-03-2013,C,Mens Upper,2726,0,0,History,,0
11-03-2013,A,Mens Upper,29362,0,2,History,,-2
11-03-2013,C,Mens Upper,29362,0,0,History,,0
11-03-2013,A,Mens Upper,63,1,12,History,,-11
11-03-2013,C,Mens Upper,63,1,1,History,,0
08-04-2013,C,Footwear Mens,17295,1,0,History,,1
08-04-2013,A,Footwear Mens,17298,0,0,History,,0
08-04-2013,C,Footwear Mens,17298,0,0,History,,0
08-04-2013,A,Home Furnishing,17514,26,23,History,,3
08-04-2013,C,Home Furnishing,17514,10,10,History,,0
08-04-2013,A,Home Furnishing,17515,8,2,History,,6
08-04-2013,C,Home Furnishing,17515,3,2,History,,1
08-04-2013,A,Home Furnishing,17516,13,4,History,,9
08-04-2013,C,Home Furnishing,17516,2,1,History,,1
08-04-2013,A,Home Furnishing,17517,0,0,History,,0
08-04-2013,C,Home Furnishing,17517,0,0,History,,0
08-04-2013,A,Home Furnishing,17518,7,8,History,,-1
08-04-2013,C,Home Furnishing,17518,4,5,History,,-1
08-04-2013,A,Home Furnishing,243,1,1,History,,0
08-04-2013,C,Home Furnishing,243,0,0,History,,0
08-04-2013,A,Infant W-Wear,13245,0,1,History,,-1
08-04-2013,C,Infant W-Wear,13245,0,2,History,,-2
08-04-2013,A,Infant W-Wear,13246,0,0,History,,0
08-04-2013,C,Infant W-Wear,13246,0,0,History,,0
08-04-2013,A,Infant W-Wear,13248,0,0,History,,0
08-04-2013,A,Infant W-Wear,26947,0,0,History,,0
08-04-2013,C,Infant W-Wear,26947,0,2,History,,-2
08-04-2013,A,Ladies Lower,15663,5,2,History,,3
08-04-2013,C,Ladies Lower,15663,1,1,History,,0
08-04-2013,A,Ladies Lower,15664,24,19,History,,5
08-04-2013,C,Ladies Lower,15664,4,7,History,,-3
08-04-2013,A,Ladies Lower,15665,1,3,History,,-2
08-04-2013,C,Ladies Lower,15665,2,2,History,,0
08-04-2013,A,Ladies Lower,15666,2,2,History,,0
08-04-2013,C,Ladies Lower,15666,1,3,History,,-2
08-04-2013,A,Ladies Lower,15667,9,20,History,,-11
08-04-2013,C,Ladies Lower,15667,7,8,History,,-1
08-04-2013,A,Ladies Lower,18108,2,1,History,,1
08-04-2013,C,Ladies Lower,18108,1,1,History,,0
08-04-2013,A,Ladies Lower,44,0,1,History,,-1
08-04-2013,C,Ladies Lower,44,0,0,History,,0
08-04-2013,A,Ladies Upper,2871,67,64,History,,3
08-04-2013,C,Ladies Upper,2871,15,21,History,,-6
08-04-2013,A,Ladies Upper,2875,133,107,History,,26
08-04-2013,C,Ladies Upper,2875,85,58,History,,27
08-04-2013,A,Ladies Upper,2876,12,19,History,,-7
08-04-2013,C,Ladies Upper,2876,2,8,History,,-6
08-04-2013,A,Ladies Upper,2877,16,21,History,,-5
08-04-2013,C,Ladies Upper,2877,6,7,History,,-1
08-04-2013,A,Ladies Upper,2878,108,77,History,,31
08-04-2013,C,Ladies Upper,2878,24,46,History,,-22
08-04-2013,A,Ladies Upper,2880,0,1,History,,-1
08-04-2013,A,Mens Lower,15350,13,1,History,,12
08-04-2013,C,Mens Lower,15350,7,7,History,,0
08-04-2013,A,Mens Lower,15352,30,20,History,,10
08-04-2013,C,Mens Lower,15352,20,13,History,,7
08-04-2013,A,Mens Lower,15353,24,26,History,,-2
08-04-2013,C,Mens Lower,15353,16,8,History,,8
08-04-2013,A,Mens Lower,15355,4,6,History,,-2
08-04-2013,C,Mens Lower,15355,8,6,History,,2
08-04-2013,A,Mens Lower,15356,8,13,History,,-5
08-04-2013,C,Mens Lower,15356,23,11,History,,12
08-04-2013,A,Mens Lower,15357,9,17,History,,-8
08-04-2013,C,Mens Lower,15357,22,12,History,,10
08-04-2013,A,Mens Lower,25943,27,22,History,,5
08-04-2013,C,Mens Lower,25943,21,16,History,,5
08-04-2013,A,Mens Lower,52,5,6,History,,-1
08-04-2013,C,Mens Lower,52,6,6,History,,0
08-04-2013,A,Mens Upper,20,0,0,History,,0
08-04-2013,A,Mens Upper,2885,0,2,History,,-2
08-04-2013,C,Mens Upper,2885,0,2,History,,-2
08-04-2013,A,Mens Upper,2886,2,5,History,,-3
08-04-2013,C,Mens Upper,2886,2,3,History,,-1
08-04-2013,A,Mens Upper,2887,1,1,History,,0
08-04-2013,C,Mens Upper,2887,1,1,History,,0
08-04-2013,A,Mens Upper,19453,0,1,History,,-1
08-04-2013,C,Mens Upper,19453,0,1,History,,-1
08-04-2013,A,Mens Upper,2598,53,48,History,,5
08-04-2013,C,Mens Upper,2598,34,27,History,,7
08-04-2013,A,Mens Upper,2599,30,27,History,,3
08-04-2013,C,Mens Upper,2599,23,18,History,,5
08-04-2013,A,Mens Upper,2600,4,9,History,,-5
08-04-2013,C,Mens Upper,2600,2,3,History,,-1
08-04-2013,A,Mens Upper,2601,2,8,History,,-6
08-04-2013,C,Mens Upper,2601,4,1,History,,3
08-04-2013,A,Mens Upper,2724,86,55,History,,31
08-04-2013,C,Mens Upper,2724,32,18,History,,14
08-04-2013,A,Mens Upper,2725,43,63,History,,-20
08-04-2013,C,Mens Upper,2725,28,24,History,,4
08-04-2013,A,Mens Upper,2726,11,16,History,,-5
08-04-2013,C,Mens Upper,2726,15,13,History,,2
08-04-2013,A,Mens Upper,29362,60,38,History,,22
08-04-2013,C,Mens Upper,29362,43,29,History,,14
08-04-2013,A,Mens Upper,63,90,122,History,,-32
08-04-2013,C,Mens Upper,63,52,51,History,,1
10-06-2013,C,Footwear Mens,17295,3,2,History,,1
10-06-2013,A,Footwear Mens,17298,0,1,History,,-1
10-06-2013,C,Footwear Mens,17298,1,0,History,,1
10-06-2013,A,Home Furnishing,17514,1,5,History,,-4
10-06-2013,C,Home Furnishing,17514,3,4,History,,-1
10-06-2013,A,Home Furnishing,17515,0,2,History,,-2
10-06-2013,C,Home Furnishing,17515,0,1,History,,-1
10-06-2013,A,Home Furnishing,17516,0,1,History,,-1
10-06-2013,C,Home Furnishing,17516,0,2,History,,-2
10-06-2013,A,Home Furnishing,17517,0,0,History,,0
10-06-2013,C,Home Furnishing,17517,0,0,History,,0
10-06-2013,A,Home Furnishing,17518,3,7,History,,-4
10-06-2013,C,Home Furnishing,17518,5,1,History,,4
10-06-2013,A,Home Furnishing,243,0,0,History,,0
10-06-2013,C,Home Furnishing,243,0,0,History,,0
10-06-2013,A,Infant W-Wear,13245,13,9,History,,4
10-06-2013,C,Infant W-Wear,13245,4,5,History,,-1
10-06-2013,A,Infant W-Wear,13246,0,0,History,,0
10-06-2013,C,Infant W-Wear,13246,0,0,History,,0
10-06-2013,A,Infant W-Wear,13248,0,0,History,,0
10-06-2013,A,Infant W-Wear,26947,6,6,History,,0
10-06-2013,C,Infant W-Wear,26947,1,1,History,,0
10-06-2013,A,Ladies Lower,15663,0,2,History,,-2
10-06-2013,C,Ladies Lower,15663,0,0,History,,0
10-06-2013,A,Ladies Lower,15664,10,15,History,,-5
10-06-2013,C,Ladies Lower,15664,6,10,History,,-4
10-06-2013,A,Ladies Lower,15665,0,0,History,,0
10-06-2013,C,Ladies Lower,15665,0,0,History,,0
10-06-2013,A,Ladies Lower,15666,3,4,History,,-1
10-06-2013,C,Ladies Lower,15666,1,2,History,,-1
10-06-2013,A,Ladies Lower,15667,4,7,History,,-3
10-06-2013,C,Ladies Lower,15667,8,5,History,,3
10-06-2013,A,Ladies Lower,18108,0,0,History,,0
10-06-2013,C,Ladies Lower,18108,0,0,History,,0
10-06-2013,A,Ladies Lower,44,0,0,History,,0
10-06-2013,C,Ladies Lower,44,0,0,History,,0
10-06-2013,A,Ladies Upper,2871,17,22,History,,-5
10-06-2013,C,Ladies Upper,2871,11,10,History,,1
10-06-2013,A,Ladies Upper,2875,36,32,History,,4
10-06-2013,C,Ladies Upper,2875,4,11,History,,-7
10-06-2013,A,Ladies Upper,2876,8,6,History,,2
10-06-2013,C,Ladies Upper,2876,1,1,History,,0
10-06-2013,A,Ladies Upper,2877,17,16,History,,1
10-06-2013,C,Ladies Upper,2877,2,2,History,,0
10-06-2013,A,Ladies Upper,2878,6,0,History,,6
10-06-2013,C,Ladies Upper,2878,6,12,History,,-6
10-06-2013,A,Ladies Upper,2880,0,0,History,,0
10-06-2013,A,Mens Lower,15350,9,4,History,,5
10-06-2013,C,Mens Lower,15350,6,8,History,,-2
10-06-2013,A,Mens Lower,15352,14,11,History,,3
10-06-2013,C,Mens Lower,15352,11,12,History,,-1
10-06-2013,A,Mens Lower,15353,10,15,History,,-5
10-06-2013,C,Mens Lower,15353,6,9,History,,-3
10-06-2013,A,Mens Lower,15355,10,3,History,,7
10-06-2013,C,Mens Lower,15355,7,3,History,,4
10-06-2013,A,Mens Lower,15356,5,2,History,,3
10-06-2013,C,Mens Lower,15356,13,8,History,,5
10-06-2013,A,Mens Lower,15357,23,15,History,,8
10-06-2013,C,Mens Lower,15357,6,5,History,,1
10-06-2013,A,Mens Lower,25943,28,26,History,,2
10-06-2013,C,Mens Lower,25943,3,7,History,,-4
10-06-2013,A,Mens Lower,52,12,8,History,,4
10-06-2013,C,Mens Lower,52,4,7,History,,-3
10-06-2013,A,Mens Upper,20,0,1,History,,-1
10-06-2013,A,Mens Upper,2885,0,1,History,,-1
10-06-2013,C,Mens Upper,2885,0,1,History,,-1
10-06-2013,A,Mens Upper,2886,1,3,History,,-2
10-06-2013,C,Mens Upper,2886,0,1,History,,-1
10-06-2013,A,Mens Upper,2887,0,0,History,,0
10-06-2013,C,Mens Upper,2887,0,0,History,,0
10-06-2013,A,Mens Upper,19453,0,2,History,,-2
10-06-2013,C,Mens Upper,19453,0,0,History,,0
10-06-2013,A,Mens Upper,2598,13,4,History,,9
10-06-2013,C,Mens Upper,2598,11,11,History,,0
10-06-2013,A,Mens Upper,2599,10,0,History,,10
10-06-2013,C,Mens Upper,2599,11,8,History,,3
10-06-2013,A,Mens Upper,2600,7,3,History,,4
10-06-2013,C,Mens Upper,2600,2,1,History,,1
10-06-2013,A,Mens Upper,2601,0,2,History,,-2
10-06-2013,C,Mens Upper,2601,0,0,History,,0
10-06-2013,A,Mens Upper,2724,5,0,History,,5
10-06-2013,C,Mens Upper,2724,7,8,History,,-1
10-06-2013,A,Mens Upper,2725,15,8,History,,7
10-06-2013,C,Mens Upper,2725,8,10,History,,-2
10-06-2013,A,Mens Upper,2726,3,8,History,,-5
10-06-2013,C,Mens Upper,2726,10,8,History,,2
10-06-2013,A,Mens Upper,29362,0,2,History,,-2
10-06-2013,C,Mens Upper,29362,2,0,History,,2
10-06-2013,A,Mens Upper,63,36,23,History,,13
10-06-2013,C,Mens Upper,63,81,69,History,,12
28-07-2013,C,Footwear Mens,17295,2,0,History,,2
28-07-2013,A,Footwear Mens,17298,0,0,History,,0
28-07-2013,C,Footwear Mens,17298,1,0,History,,1
28-07-2013,A,Home Furnishing,17514,37,20,History,,17
28-07-2013,C,Home Furnishing,17514,9,6,History,,3
28-07-2013,A,Home Furnishing,17515,5,1,History,,4
28-07-2013,C,Home Furnishing,17515,2,2,History,,0
28-07-2013,A,Home Furnishing,17516,9,1,History,,8
28-07-2013,C,Home Furnishing,17516,1,0,History,,1
28-07-2013,A,Home Furnishing,17517,0,0,History,,0
28-07-2013,C,Home Furnishing,17517,0,0,History,,0
28-07-2013,A,Home Furnishing,17518,15,8,History,,7
28-07-2013,C,Home Furnishing,17518,6,5,History,,1
28-07-2013,A,Home Furnishing,243,1,1,History,,0
28-07-2013,C,Home Furnishing,243,0,0,History,,0
28-07-2013,A,Infant W-Wear,13245,0,0,History,,0
28-07-2013,C,Infant W-Wear,13245,0,0,History,,0
28-07-2013,A,Infant W-Wear,13246,0,0,History,,0
28-07-2013,C,Infant W-Wear,13246,0,0,History,,0
28-07-2013,A,Infant W-Wear,13248,0,0,History,,0
28-07-2013,A,Infant W-Wear,26947,0,1,History,,-1
28-07-2013,C,Infant W-Wear,26947,0,0,History,,0
